intent,subject,question,answer
general,general,is it going to be perfect beach weather?,i believe so.
general,general,i believe so.,good. i hope it doesn't cool off this weekend.
general,general,good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.
general,general,i know. i really want to go to the beach.,but you know that the weather these days is really unpredictable.
general,general,but you know that the weather these days is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold."
general,general,"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.
general,general,i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.
general,general,i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier."
general,general,i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?
general,general,a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.
general,general,the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?
general,general,so do you think it'll be perfect weather for the beach?,it sounds like it will be.
general,general,it sounds like it will be.,i really hope it doesn't get cold.
general,general,i really hope it doesn't get cold.,"that would ruin things, i want to go so badly."
general,general,"that would ruin things, i want to go so badly.","the weather is so unpredictable now, so you never know."
general,general,"the weather is so unpredictable now, so you never know.",that is true. the weather is constantly changing.
general,general,that is true. the weather is constantly changing.,it would be nice if the weather would never change.
general,general,it would be nice if the weather would never change.,"that would be great, then we could plan things sooner."
general,general,"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.
general,general,it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.
general,general,what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.
general,general,the weather this weekend is supposed to be warm.,will it be good beach weather?
general,general,will it be good beach weather?,i think it will be.
general,general,i think it will be.,it wouldn't be good if it got cold this weekend.
general,general,it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm."
general,general,"i want this trip to be perfect, i hope it stays warm.","this weather is so uncertain, it's impossible to know what'll happen."
general,general,"this weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.
general,general,i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.
general,general,i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.
general,general,"hello, may i speak to alice please?",this is she. how's it going?
general,general,this is she. how's it going?,i've been trying to call you all day.
general,general,i've been trying to call you all day.,sorry about that. i was cleaning up.
general,general,sorry about that. i was cleaning up.,it's okay.
general,general,it's okay.,so what were you calling me about?
general,general,so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow."
general,general,"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
general,general,"sure, what did you want to do?",maybe we can go see a movie or something.
general,general,maybe we can go see a movie or something.,that sounds like fun. let's do it.
general,general,that sounds like fun. let's do it.,i'll see you tomorrow then.
general,general,i'll see you tomorrow then.,see you then. goodbye.
general,general,"hi, how are you. is alice there?",speaking. what's up?
general,general,speaking. what's up?,why haven't you answered the phone?
general,general,why haven't you answered the phone?,"my bad, i had chores to do."
general,general,"my bad, i had chores to do.",that's all right.
general,general,that's all right.,what was the reason for your call?
general,general,what was the reason for your call?,i want to do something tomorrow with you.
general,general,i want to do something tomorrow with you.,sounds good. what did you have in mind?
general,general,sounds good. what did you have in mind?,i was thinking about seeing a movie.
general,general,i was thinking about seeing a movie.,"okay, let's go see a movie."
general,general,"okay, let's go see a movie.",until then.
general,general,until then.,talk to you later.
general,general,is alice available?,you're talking to her.
general,general,you're talking to her.,i've called you a hundred times today.
general,general,i've called you a hundred times today.,i was busy doing something. i apologize.
general,general,i was busy doing something. i apologize.,no problem.
general,general,no problem.,did you need something?
general,general,did you need something?,do you want to do something tomorrow?
general,general,do you want to do something tomorrow?,is there somewhere special you wanted to go?
general,general,is there somewhere special you wanted to go?,how about a movie?
general,general,how about a movie?,a movie sounds good.
general,general,a movie sounds good.,call me tomorrow then.
general,general,have you seen the new girl in school?,"no, i haven't."
general,general,"no, i haven't.",she's really pretty.
general,general,she's really pretty.,describe her to me.
general,general,describe her to me.,she's not too tall.
general,general,she's not too tall.,"well, how tall is she?"
general,general,"well, how tall is she?",she's about five feet even.
general,general,she's about five feet even.,"what does she look like, though?"
general,general,"what does she look like, though?",she has pretty light brown eyes.
general,general,she has pretty light brown eyes.,i may know which girl you're talking about.
general,general,i may know which girl you're talking about.,so you have seen her around?
general,general,so you have seen her around?,"yes, i have."
general,general,"there's a new girl in school, have you seen her yet?",i haven't seen her yet.
general,general,i haven't seen her yet.,i think that she is very pretty.
general,general,i think that she is very pretty.,tell me how she looks.
general,general,tell me how she looks.,she's kind of short.
general,general,she's kind of short.,what height is she?
general,general,what height is she?,she's probably about five feet.
general,general,she's probably about five feet.,"that's nice, but tell me what she looks like."
general,general,"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.
general,general,the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.
general,general,i think i might've bumped into her before.,are you telling me that you've seen her before?
general,general,are you telling me that you've seen her before?,i believe so.
general,general,have you met the new girl?,no. have you?
general,general,no. have you?,she's one of the prettiest girls at the school.
general,general,she's one of the prettiest girls at the school.,what does she look like?
general,general,what does she look like?,"well, she's quite short."
general,general,"well, she's quite short.",how tall would you say that she is?
general,general,how tall would you say that she is?,i would say she's only five feet.
general,general,i would say she's only five feet.,what about her facial features?
general,general,what about her facial features?,"she has light brown eyes, absolutely beautiful."
general,general,"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.
general,general,i think i know who you're talking about.,have you seen her?
general,general,why weren't you at school yesterday?,i wasn't really feeling well.
general,general,i wasn't really feeling well.,what was wrong with you?
general,general,what was wrong with you?,my stomach was upset.
general,general,my stomach was upset.,do you feel better now?
general,general,do you feel better now?,i don't really feel too well yet.
general,general,i don't really feel too well yet.,do you want anything to make you feel better?
general,general,do you want anything to make you feel better?,"no, thanks. i already took some medicine."
general,general,"no, thanks. i already took some medicine.",i hope you feel better.
general,general,i hope you feel better.,thank you.
general,general,what reason do you have for missing school?,i was sick.
general,general,i was sick.,how were you sick?
general,general,how were you sick?,i had a stomachache.
general,general,i had a stomachache.,did it get any better?
general,general,did it get any better?,i'm still feeling under the weather.
general,general,i'm still feeling under the weather.,would you like anything for your stomach?
general,general,would you like anything for your stomach?,i took something earlier.
general,general,i took something earlier.,get better.
general,general,get better.,thanks a lot.
general,general,why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.
general,general,i stayed home because i wasn't feeling well.,what was your problem?
general,general,what was your problem?,my stomach was bothering me.
general,general,my stomach was bothering me.,are you feeling any better?
general,general,are you feeling any better?,i'm still feeling a little sick.
general,general,i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?"
general,general,"i'm going to the store, would you like any pepto bismol?",that's okay.
general,general,that's okay.,i hope you feel better.
general,general,did you hear the good news?,"no, i haven't."
general,general,"no, i haven't.",i got a promotion at my job.
general,general,i got a promotion at my job.,did you really?
general,general,did you really?,"seriously, i am so excited."
general,general,"seriously, i am so excited.","well, congratulations."
general,general,"well, congratulations.",thank you.
general,general,thank you.,i'm so happy for you.
general,general,i'm so happy for you.,really?
general,general,really?,yes. you really deserved this.
general,general,yes. you really deserved this.,you think so?
general,general,you think so?,yes. good for you.
general,general,have you heard my good news?,you haven't told me anything yet.
general,general,you haven't told me anything yet.,i got a promotion at work earlier this week.
general,general,i got a promotion at work earlier this week.,is that right?
general,general,is that right?,it's the truth. i am really happy.
general,general,it's the truth. i am really happy.,congratulations on your promotion.
general,general,congratulations on your promotion.,thank you very much.
general,general,thank you very much.,i am really excited for you.
general,general,i am really excited for you.,are you really?
general,general,are you really?,i'm serious. you deserved this promotion.
general,general,i'm serious. you deserved this promotion.,is that what you really think?
general,general,is that what you really think?,"yes, i do."
general,general,"i haven't told you what happened yet, have i?",i haven't heard anything.
general,general,i haven't heard anything.,"my boss offered me a promotion, and i took it."
general,general,"my boss offered me a promotion, and i took it.",are you serious?
general,general,are you serious?,"yes, i am really excited."
general,general,"yes, i am really excited.",that's great. congratulations.
general,general,that's great. congratulations.,i appreciate that.
general,general,i appreciate that.,you have no idea how happy i am for you.
general,general,you have no idea how happy i am for you.,for real?
general,general,you look really nice today.,thank you. i just got this outfit the other day.
general,general,thank you. i just got this outfit the other day.,"really, where did you get it?"
general,general,"really, where did you get it?",i got it from macy's.
general,general,i got it from macy's.,it's really nice.
general,general,it's really nice.,"thanks again. you look nice today, too."
general,general,"thanks again. you look nice today, too.",thank you. i just got these shoes today.
general,general,thank you. i just got these shoes today.,really? what kind of shoes are they?
general,general,really? what kind of shoes are they?,these are called all star chuck taylors.
general,general,these are called all star chuck taylors.,i really like those. how much did they cost?
general,general,i really like those. how much did they cost?,they were about forty dollars.
general,general,they were about forty dollars.,i think i'm going to go buy myself a pair.
general,general,i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.
general,general,you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?"
general,general,"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.
general,general,i bought it from the macy's at the santa anita mall.,i really like that outfit.
general,general,i really like that outfit.,"thanks. i think you look nice today, too."
general,general,"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.
general,general,thank you. i just bought these new shoes earlier today.,those are nice. what are they?
general,general,those are nice. what are they?,these are some chucks.
general,general,these are some chucks.,those are great. how much were they?
general,general,those are great. how much were they?,i got them for forty.
general,general,i got them for forty.,i think i might go and find me my own pair of chucks.
general,general,i think that you look very cute today.,is that right? this is a brand new outfit.
general,general,is that right? this is a brand new outfit.,what store did you get it from?
general,general,what store did you get it from?,i went to macy's and picked it out.
general,general,i went to macy's and picked it out.,i love your outfit right now.
general,general,i love your outfit right now.,"well, i think you look nice today too."
general,general,"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.
general,general,thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?
general,general,i think that those are some really nice shoes. what kind are they?,these are chucks.
general,general,these are chucks.,your shoes look really nice. how much did you get them for?
general,general,your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.
general,general,"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.
general,general,i enjoy drawing and painting.,you know how to draw and paint?
general,general,you know how to draw and paint?,"yes, i do."
general,general,"yes, i do.",when did you learn how to do that?
general,general,when did you learn how to do that?,i learned back in high school.
general,general,i learned back in high school.,"oh, so you took an art class?"
general,general,"oh, so you took an art class?","yeah, i loved that class."
general,general,"yeah, i loved that class.",i see that you're pretty talented.
general,general,i see that you're pretty talented.,thank you very much.
general,general,thank you very much.,i wish i had a talent like that.
general,general,i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.
general,general,what kinds of things do you like to do?,i've always liked to draw and paint.
general,general,i've always liked to draw and paint.,i didn't know you knew how to draw and paint.
general,general,i didn't know you knew how to draw and paint.,i do it every once in a while.
general,general,i do it every once in a while.,how long have you known how to do that?
general,general,how long have you known how to do that?,i first learned how to do it in high school.
general,general,i first learned how to do it in high school.,did you take some sort of art class or something?
general,general,did you take some sort of art class or something?,that was my favorite class.
general,general,that was my favorite class.,you have got to be talented.
general,general,you have got to be talented.,thanks.
general,general,thanks.,if only i was talented.
general,general,if only i was talented.,you have a talent. you just don't know what it is yet.
general,general,are there any hobbies you do?,"when i have time, i sometimes draw and paint."
general,general,"when i have time, i sometimes draw and paint.","oh, you actually do that?"
general,general,"oh, you actually do that?","every so often, i do."
general,general,"every so often, i do.",did you always know how to draw and paint?
general,general,did you always know how to draw and paint?,i was taught in high school how to draw and paint.
general,general,i was taught in high school how to draw and paint.,you had an art class?
general,general,you had an art class?,"exactly, it was my favorite class."
general,general,"exactly, it was my favorite class.","well, it's good that you're so talented."
general,general,"well, it's good that you're so talented.",i appreciate that.
general,general,i appreciate that.,"talent is a great thing, i wish i had one."
general,general,what's your favorite movie?,my favorite movie is superbad.
general,general,my favorite movie is superbad.,"oh, why is that?"
general,general,"oh, why is that?",it's the funniest movie that i've ever seen.
general,general,it's the funniest movie that i've ever seen.,that's true. it is a very funny movie.
general,general,that's true. it is a very funny movie.,you've seen it before?
general,general,you've seen it before?,"yes, i saw that movie the first day it came out in theaters."
general,general,"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.
general,general,didn't you laugh through the whole movie? i did.,me too. that movie brought tears to my eyes.
general,general,me too. that movie brought tears to my eyes.,mine too.
general,general,mine too.,i have it on dvd at my house if you want to come over and watch it.
general,general,i have it on dvd at my house if you want to come over and watch it.,"sure, let's go."
general,general,which movie is your favorite to watch?,"i have to say, my favorite movie is superbad."
general,general,"i have to say, my favorite movie is superbad.",is that right? why?
general,general,is that right? why?,"honestly, it is one of the funniest movies i've seen in a long time."
general,general,"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.
general,general,you're right. that movie is hilarious.,i didn't think you saw that movie.
general,general,i didn't think you saw that movie.,i went to see it the day it came out.
general,general,i went to see it the day it came out.,i was laughing through the whole movie.
general,general,i was laughing through the whole movie.,"i couldn't help laughing, either."
general,general,"i couldn't help laughing, either.",same here.
general,general,same here.,i bought the movie. would you like to come to my house and watch it?
general,general,i bought the movie. would you like to come to my house and watch it?,of course.
general,general,"out of every movie that you've seen, which one is your favorite?",i'm going to have to say that superbad is the best movie ever.
general,general,i'm going to have to say that superbad is the best movie ever.,"you think so, how come?"
general,general,"you think so, how come?","well, superbad is super funny."
general,general,"well, superbad is super funny.","you're not lying, i found that movie absolutely hilarious."
general,general,"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.
general,general,i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.
general,general,i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.
general,general,i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
general,general,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.
general,general,that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?"
general,general,what type of music do you like to listen to?,i like listening to different kinds of music.
general,general,i like listening to different kinds of music.,"like what, for instance?"
general,general,"like what, for instance?",i enjoy rock and r&b.
general,general,i enjoy rock and r&b.,why is that?
general,general,why is that?,i like the different instruments that they use.
general,general,i like the different instruments that they use.,that's a good reason to like something.
general,general,that's a good reason to like something.,"yeah, i think so too."
general,general,what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.
general,general,i enjoy listening to all kinds of music.,what kind?
general,general,what kind?,i like to listen to rap.
general,general,i like to listen to rap.,why do you like that type of music?
general,general,why do you like that type of music?,it's just the most progressive genre today.
general,general,it's just the most progressive genre today.,i think that's an excellent reason to like something.
general,general,i think that's an excellent reason to like something.,"thanks, i feel the same way."
general,general,what is your favorite kind of music?,i listen to various types of music.
general,general,i listen to various types of music.,what genres?
general,general,what genres?,i enjoy listening to both rock and electronica.
general,general,i enjoy listening to both rock and electronica.,what interests you in that type of music?
general,general,what interests you in that type of music?,i enjoy the different types of instruments that they use.
general,general,i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.
general,general,did you go to the basketball game on friday?,"no, i couldn't make it."
general,general,"no, i couldn't make it.",you missed a really good game.
general,general,you missed a really good game.,"oh, really? who won?"
general,general,"oh, really? who won?",our school did. they played really well.
general,general,our school did. they played really well.,too bad i was busy. i really wanted to go.
general,general,too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting."
general,general,"yeah, you should have. it was really exciting.",so what was the score?
general,general,so what was the score?,the score was 3-2.
general,general,the score was 3-2.,"man, that was a really close game."
general,general,"man, that was a really close game.",that's what made it so great.
general,general,that's what made it so great.,i'll make sure and make it to the next one.
general,general,were you able to attend friday night's basketball game?,i was unable to make it.
general,general,i was unable to make it.,you should have been there. it was intense.
general,general,you should have been there. it was intense.,is that right. who ended up winning?
general,general,is that right. who ended up winning?,our team was victorious.
general,general,our team was victorious.,i wish i was free that night. i'm kind of mad that i didn't go.
general,general,i wish i was free that night. i'm kind of mad that i didn't go.,it was a great game.
general,general,it was a great game.,what was the score at the end of the game?
general,general,what was the score at the end of the game?,our team won 3-2.
general,general,our team won 3-2.,sounds like it was a close game.
general,general,sounds like it was a close game.,that's the reason it was such a great game.
general,general,that's the reason it was such a great game.,"the next game, i will definitely be there."
general,general,i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't."
general,general,"i wanted to go, but i couldn't.",it was a great game.
general,general,it was a great game.,it's too bad that i couldn't make it. who won?
general,general,it's too bad that i couldn't make it. who won?,our team played hard and won.
general,general,our team played hard and won.,i really wish i went to the game.
general,general,i really wish i went to the game.,it was the best game ever.
general,general,it was the best game ever.,so tell me the final score.
general,general,so tell me the final score.,"the other team lost by three points, 101-98."
general,general,"the other team lost by three points, 101-98.",it must've been a close game.
general,general,it must've been a close game.,it really was. you should've gone.
general,general,what are you doing this weekend?,i'm going to the movies with a friend. how about you?
general,general,i'm going to the movies with a friend. how about you?,i'm not sure yet.
general,general,i'm not sure yet.,"well, did you want to go see a movie with me?"
general,general,"well, did you want to go see a movie with me?",what movie are you going to see?
general,general,what movie are you going to see?,i'm not sure yet. is there something you want to see?
general,general,i'm not sure yet. is there something you want to see?,there's nothing i can think of.
general,general,there's nothing i can think of.,"so, did you want to go?"
general,general,"so, did you want to go?","no, thanks, maybe another time."
general,general,"no, thanks, maybe another time.","okay, sounds good."
general,general,do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?
general,general,i am going to see a movie with a friend of mine. what about you?,i don't know.
general,general,i don't know.,would you like to see a movie with me and my friend?
general,general,would you like to see a movie with me and my friend?,do you know what movie you're going to watch?
general,general,do you know what movie you're going to watch?,"i don't know, but was there a certain movie you wanted to see?"
general,general,"i don't know, but was there a certain movie you wanted to see?",none that i can think of.
general,general,none that i can think of.,"well, would you like to go?"
general,general,"well, would you like to go?","thank you for inviting me, but i think i'll pass."
general,general,"thank you for inviting me, but i think i'll pass.",all right. another time then.
general,general,you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?
general,general,i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.
general,general,i'm not quite sure yet.,how about you see a movie with me and my friend?
general,general,how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?
general,general,what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?
general,general,not sure. is there a movie out that catches your eye?,no good movies come to mind.
general,general,no good movies come to mind.,have you decided whether or not you would like to go?
general,general,have you decided whether or not you would like to go?,"no, thanks. maybe another time."
general,general,did you go to school today?,"yeah, i went to school today. were you there?"
general,general,"yeah, i went to school today. were you there?","no, i didn't go, i've been sick."
general,general,"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?
general,general,that sucks. did you want the assignments from english class?,"that would be nice, thank you."
general,general,"that would be nice, thank you.","no problem, you're welcome."
general,general,"no problem, you're welcome.",i will be glad to do the same for you when you're sick.
general,general,i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow."
general,general,have you attended school today?,i attended school today. did you?
general,general,i attended school today. did you?,i wasn't able to attend school because i was feeling ill.
general,general,i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?
general,general,i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks."
general,general,"i would really appreciate that, thanks.",it's no trouble at all.
general,general,it's no trouble at all.,"if you get sick, i'll return the favor."
general,general,"if you get sick, i'll return the favor.",thanks. see you at school tomorrow if you feel better.
general,general,have you gone to school today?,i went to school today. did you go to school?
general,general,i went to school today. did you go to school?,"i couldn't go to school today, i was sick."
general,general,"i couldn't go to school today, i was sick.",that's horrible. i'd be happy to give you the assignments from english class.
general,general,that's horrible. i'd be happy to give you the assignments from english class.,"thank you very much, that's kind of you."
general,general,"thank you very much, that's kind of you.",don't mention it.
general,general,don't mention it.,"when you miss a day of school, i'll be happy to give you the english assignments."
general,general,did you hear the news?,what happened?
general,general,what happened?,our cousin went into labor and had her baby last week.
general,general,our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?
general,general,she did? why didn't anyone tell me?,i would've thought that somebody would have told you.
general,general,i would've thought that somebody would have told you.,"no, i had no idea."
general,general,"no, i had no idea.","well, she did, her baby was 8 pounds 6 ounces."
general,general,"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!"
general,general,"oh my god, that's great!",are you going to go and visit her and the baby?
general,general,are you going to go and visit her and the baby?,i think that i might.
general,general,i think that i might.,good! i just thought i'd let you know.
general,general,good! i just thought i'd let you know.,thanks for telling me.
general,general,have you heard what happened?,heard what?
general,general,heard what?,debrah already had her baby.
general,general,debrah already had her baby.,i didn't know that.
general,general,i didn't know that.,i thought you knew.
general,general,i thought you knew.,i honestly didn't know.
general,general,i honestly didn't know.,the baby was 8 pounds 6 ounces.
general,general,the baby was 8 pounds 6 ounces.,that's good to hear.
general,general,that's good to hear.,will you go and visit them?
general,general,will you go and visit them?,of course i will.
general,general,of course i will.,i just wanted to give you the good news.
general,general,i just wanted to give you the good news.,thanks for letting me know.
general,general,have you heard the news?,i haven't heard anything.
general,general,i haven't heard anything.,debrah had her baby last week.
general,general,debrah had her baby last week.,nobody told me.
